id,per_square_meter_price
COL_289284,41534.51629194571
COL_289305,41348.87885117067
COL_289318,38851.845373294986
COL_289354,92310.84574792255
COL_289399,43035.70334799854
COL_289428,29559.59495644641
COL_289460,27744.23580906341
COL_289493,71372.61982285292
COL_289495,55525.54541768226
COL_289749,47482.81039138623
COL_289763,175598.25853546677
COL_289778,48313.290733408714
COL_289801,38943.95945020103
COL_289971,26982.273283944007
COL_290143,47754.31515207634
COL_290169,57247.54672804108
COL_290252,37845.779950303426
COL_290336,18860.20364514834
COL_290398,36778.02623708249
COL_290403,38237.26791624437
COL_290431,37648.20483665805
COL_290466,52524.2959707153
COL_290486,51402.57090627906
COL_290497,41293.87885299389
COL_290510,57048.26452983062
COL_290559,42282.62579857569
COL_290600,154271.17678180782
COL_290602,141546.56104444253
COL_290716,45409.4067789286
COL_290717,22599.069998782637
COL_290876,41791.6171881576
COL_290966,30830.25997595521
COL_291008,36395.86385740238
COL_291021,116639.33610680672
COL_291043,58531.63010780693
COL_291190,42876.2120041193
COL_291192,41832.4735895941
COL_291274,63313.80481243244
COL_291284,65995.51982222106
COL_291397,38536.98069230043
COL_291450,78075.08665956644
COL_291738,63767.96219310028
COL_291740,33096.64036672709
COL_291825,32432.9569418621
COL_291900,49447.91891234706
COL_292045,74173.8780078237
COL_292135,42505.527979968894
COL_292258,50254.632611507135
COL_292275,36373.19812130667
COL_292279,37644.52366178085
COL_292364,49176.909531797726
COL_292417,33148.84005047884
COL_292421,42428.18578986339
COL_292501,43058.00712567144
COL_292654,82707.25622234087
COL_292906,42398.960594301025
COL_292926,24322.260236566774
COL_293123,36236.03500227821
COL_293135,27056.56121385875
COL_293496,48396.00664517573
COL_293497,40451.16353269664
COL_293588,202656.5827672787
COL_293614,134194.6893515464
COL_293631,68648.88057667624
COL_293703,39341.56379139854
COL_293773,27972.05379279142
COL_293780,52989.93787901827
COL_293783,31792.21923801724
COL_293826,40405.06254951886
COL_293889,81453.90285482586
COL_293952,59348.94076197714
COL_293956,32697.25287164848
COL_294068,58564.83099759064
COL_294101,45783.878359839284
COL_294115,44644.849118412174
COL_294143,33278.486931215266
COL_294200,37817.51446298598
COL_294245,34217.59305154435
COL_294261,29839.308414375024
COL_294293,58815.350738061206
COL_294300,57804.42856143281
COL_294350,37740.12526441076
COL_294488,42734.14416779912
COL_294525,45971.41901161882
COL_294553,63354.44693856742
COL_294558,42215.670285606546
COL_294593,39361.49030261775
COL_294691,59138.86346096161
COL_294716,41199.33625022769
COL_294729,43643.59102833429
COL_294785,42099.81688800923
COL_294917,64788.992222280096
COL_294951,21667.265667414176
COL_294975,34769.39864449484
COL_295255,26529.374474580545
COL_295327,21827.620477135442
COL_295509,38785.38566398332
COL_295595,62554.109592906
COL_296322,39631.64524553208
COL_296509,30419.090739223342
COL_296521,185834.48712321898
COL_296756,37825.99890985177
COL_296901,47606.7974315742
COL_297293,56762.52386710851
COL_297324,41263.392112981855
COL_297326,41730.2905630856
COL_297329,35082.48443333997
COL_297441,27440.912639038437
COL_297472,30314.363144191633
COL_297631,57583.67600875483
COL_297815,76508.04183375073
COL_298020,38067.540955653436
COL_298046,60945.515440593335
COL_298052,40523.11530176204
COL_298055,90842.88919139684
COL_298064,61044.26379592763
COL_298075,52172.21052247828
COL_298099,38648.2278154796
COL_298101,73030.86407113209
COL_298102,39327.9072250126
COL_298103,31331.74716638063
COL_298104,43798.2703195223
COL_298261,55006.799830377204
COL_298459,244765.70831196313
COL_298471,29406.59904350323
COL_298481,62763.40387505213
COL_298516,48303.073204155604
COL_298532,42354.45470893736
COL_298539,36480.78187848
COL_298593,338396.9076271561
COL_298719,31655.0690493922
COL_298724,56006.64141791015
COL_298733,35811.057542131726
COL_298817,67036.25027162481
COL_298837,53267.19171189594
COL_298968,172402.45006369537
COL_299209,57578.903093206645
COL_299221,196927.50821375276
COL_299361,44346.31933977134
COL_299366,43405.06929479921
COL_299450,81542.86221320588
COL_299454,40044.500522040806
COL_299455,76309.86125446847
COL_299459,63766.04775247654
COL_299464,27810.21368307746
COL_299468,49721.54180202842
COL_299486,36362.298218510965
COL_299491,90776.73719820804
COL_299497,51969.73857248586
COL_299499,59709.29677059909
COL_299501,76686.69277875646
COL_299540,48324.61931142942
COL_299615,40665.937550701194
COL_299659,170638.7185590195
COL_299678,184450.72857791508
COL_299795,36685.065628778255
COL_299818,47253.16810726589
COL_299819,82614.70984691844
COL_299820,90333.01896760963
COL_299960,78780.95221048308
COL_300095,49071.19356507037
COL_300108,327198.35731265816
